datetime,temperature_C,power_draw_W,utilization_MiB,memory_used_MiB,memory_total_percentage
2018-02-23 21:52:55.220139,91,90.30,2822,8114,100
2018-02-23 21:53:05.248094,91,90.25,2822,8114,100
2018-02-23 21:53:15.283580,91,90.33,2822,8114,100
2018-02-23 21:53:25.318612,91,90.36,2822,8114,100
2018-02-23 21:53:35.352044,91,90.44,2822,8114,100
2018-02-23 21:53:45.387997,91,90.37,2822,8114,100
2018-02-23 21:53:55.421495,91,90.48,2822,8114,100
2018-02-23 21:54:05.453313,91,90.33,2822,8114,100
2018-02-23 21:54:15.486859,90,90.22,2822,8114,100
2018-02-23 21:54:25.538507,90,90.21,2822,8114,100
2018-02-23 21:54:35.575776,90,90.21,2822,8114,100
2018-02-23 21:54:45.609110,90,89.83,2822,8114,100
2018-02-23 21:54:55.643284,90,90.17,2822,8114,100
2018-02-23 21:55:05.683957,90,90.14,2822,8114,100
2018-02-23 21:55:15.719729,90,90.24,2822,8114,100
2018-02-23 21:55:25.753192,90,90.33,2822,8114,100
2018-02-23 21:55:35.788928,90,90.41,2822,8114,100
2018-02-23 21:55:45.837772,90,90.33,2822,8114,100
2018-02-23 21:55:49.000045,90,90.45,2822,8114,100
2018-02-23 21:55:59.026805,90,90.29,2822,8114,100
2018-02-23 21:56:09.058511,90,90.41,2822,8114,100
2018-02-23 21:56:13.568743,90,90.30,2822,8114,100
2018-02-23 21:57:22.357317,89,90.18,2822,8114,100
2018-02-23 21:57:32.394628,89,90.24,2822,8114,100
2018-02-23 21:57:42.440119,89,90.17,2822,8114,100
2018-02-23 21:59:43.666512,89,90.34,2822,8114,100
2018-02-23 21:59:53.691033,89,90.29,2822,8114,100
2018-02-23 22:00:03.722859,89,90.17,2822,8114,100
2018-02-23 22:00:13.754426,89,90.36,2822,8114,100
2018-02-23 22:00:23.796031,89,90.17,2822,8114,100
2018-02-23 22:00:33.830872,89,90.48,2822,8114,100
2018-02-23 22:00:43.869509,89,90.29,2822,8114,100
2018-02-23 22:00:53.921329,89,90.21,2822,8114,100
2018-02-23 22:01:03.957997,89,90.33,2822,8114,100
2018-02-23 22:01:13.989638,89,90.29,2822,8114,100
2018-02-23 22:01:24.017928,89,90.17,2822,8114,100
2018-02-23 22:01:34.058692,89,90.29,2822,8114,100
2018-02-23 22:01:44.091713,89,90.17,2822,8114,100
2018-02-23 22:01:54.126549,89,90.21,2822,8114,100
2018-02-23 22:02:04.160325,89,90.21,2822,8114,100
2018-02-23 22:02:14.207897,89,90.29,2822,8114,100
2018-02-23 22:02:24.239078,89,90.29,2822,8114,100
2018-02-23 22:02:34.275317,89,90.29,2822,8114,100
2018-02-23 22:02:44.317056,89,90.25,2822,8114,100
2018-02-23 22:02:54.356040,89,90.36,2822,8114,100
2018-02-23 22:03:04.380771,89,90.36,2822,8114,100
2018-02-23 22:03:14.416197,89,90.21,2822,8114,100
2018-02-23 22:03:24.445604,89,90.33,2822,8114,100
2018-02-23 22:03:34.479160,89,90.21,2822,8114,100
2018-02-23 22:03:44.512626,89,90.21,2822,8114,100
2018-02-23 22:03:54.544830,89,90.29,2822,8114,100
2018-02-23 22:04:04.591075,89,90.14,2822,8114,100
2018-02-23 22:04:14.623429,89,90.17,2822,8114,100
2018-02-23 22:04:24.671953,89,90.17,2822,8114,100
2018-02-23 22:04:34.703652,89,90.33,2822,8114,100
2018-02-23 22:04:44.748147,89,90.24,2822,8114,100
2018-02-23 22:04:54.784741,89,90.24,2822,8114,100
2018-02-23 22:05:04.818349,89,90.21,2822,8114,100
2018-02-23 22:05:14.864989,89,90.17,2822,8114,100
2018-02-23 22:05:24.897755,88,90.29,2822,8114,100
2018-02-23 22:05:34.943876,89,90.29,2822,8114,100
2018-02-23 22:05:44.980840,89,90.14,2822,8114,100
2018-02-23 22:05:55.021866,89,90.14,2822,8114,100
2018-02-23 22:06:05.058829,89,90.14,2822,8114,100
2018-02-23 22:06:15.101840,89,90.14,2822,8114,100
2018-02-23 22:06:25.137038,88,90.17,2822,8114,100
2018-02-23 22:06:35.178917,89,90.33,2822,8114,100
2018-02-23 22:06:45.211547,89,90.17,2822,8114,100
2018-02-23 22:06:55.243164,89,90.14,2822,8114,100
2018-02-23 22:07:05.274481,89,90.21,2822,8114,100
2018-02-23 22:07:15.307913,89,90.21,2822,8114,100
2018-02-23 22:07:25.340326,88,90.21,2822,8114,100
2018-02-23 22:07:35.373444,89,90.21,2822,8114,100
2018-02-23 22:07:45.418624,88,90.21,2822,8114,100
2018-02-23 22:07:55.450743,88,90.14,2822,8114,100
2018-02-23 22:08:05.482425,88,90.17,2822,8114,100
2018-02-23 22:08:15.517008,88,90.14,2822,8114,100
2018-02-23 22:08:25.551020,88,88.63,2822,8114,100
2018-02-23 22:08:35.586781,88,90.10,2822,8114,100
2018-02-23 22:08:45.625427,88,90.21,2822,8114,100
2018-02-23 22:08:55.657439,88,90.24,2822,8114,100
2018-02-23 22:09:05.689351,88,90.21,2822,8114,100
2018-02-23 22:09:15.720420,88,89.86,2822,8114,100
2018-02-23 22:09:25.754725,88,89.98,2822,8114,100
2018-02-23 22:09:35.801404,88,90.14,2822,8114,100
2018-02-23 22:09:45.832079,88,90.21,2822,8114,100
2018-02-23 22:09:55.874896,88,90.02,2822,8114,100
2018-02-23 22:10:05.912699,88,90.21,2822,8114,100
2018-02-23 22:10:15.946032,88,90.14,2822,8114,100
2018-02-23 22:10:25.979777,88,90.21,2822,8114,100
2018-02-23 22:10:36.024205,88,90.10,2822,8114,100
2018-02-23 22:10:46.067613,88,90.10,2822,8114,100
2018-02-23 22:10:56.114364,88,90.17,2822,8114,100
2018-02-23 22:11:06.148108,88,90.17,2822,8114,100
2018-02-23 22:11:16.197902,88,89.98,2822,8114,100
2018-02-23 22:11:26.238189,88,90.05,2822,8114,100
2018-02-23 22:11:36.271068,88,90.10,2822,8114,100
2018-02-23 22:11:46.313227,88,90.05,2822,8114,100
2018-02-23 22:11:56.349224,88,90.05,2822,8114,100
2018-02-23 22:12:06.381583,88,90.14,2822,8114,100
2018-02-23 22:12:16.412894,88,90.24,2822,8114,100
2018-02-23 22:12:26.449239,88,90.17,2822,8114,100
2018-02-23 22:12:36.494926,88,90.21,2822,8114,100
2018-02-23 22:12:46.532493,88,90.21,2822,8114,100
2018-02-23 22:12:56.564798,88,90.21,2822,8114,100
2018-02-23 22:13:06.603870,88,90.14,2822,8114,100
2018-02-23 22:13:16.638495,88,90.10,2822,8114,100
2018-02-23 22:13:26.669053,88,90.02,2822,8114,100
2018-02-23 22:13:36.712515,88,90.21,2822,8114,100
2018-02-23 22:13:46.752930,88,90.14,2822,8114,100
2018-02-23 22:13:56.789144,88,90.21,2822,8114,100
2018-02-23 22:14:06.822929,88,90.24,2822,8114,100
2018-02-23 22:14:16.856206,88,90.10,2822,8114,100
2018-02-23 22:14:26.902134,88,90.17,2822,8114,100
2018-02-23 22:14:36.930045,88,90.21,2822,8114,100
2018-02-23 22:14:46.970594,88,90.14,2822,8114,100
2018-02-23 22:14:57.019196,88,90.17,2822,8114,100
2018-02-23 22:15:07.066713,88,90.17,2822,8114,100
2018-02-23 22:15:17.099182,88,90.10,2822,8114,100
2018-02-23 22:15:27.148018,88,90.17,2822,8114,100
2018-02-23 22:15:37.187679,88,90.14,2822,8114,100
2018-02-23 22:15:47.227430,88,90.10,2822,8114,100
2018-02-23 22:15:57.274413,88,90.09,2822,8114,100
2018-02-23 22:16:07.309071,88,90.67,2822,8114,100
2018-02-23 22:16:17.366189,88,89.98,2822,8114,100
2018-02-23 22:16:27.404440,88,90.07,2822,8114,100
2018-02-23 22:16:37.439050,88,90.17,2822,8114,100
2018-02-23 22:16:47.478401,88,90.02,2822,8114,100
2018-02-23 22:16:57.512917,88,90.24,2822,8114,100
2018-02-23 22:17:07.544346,88,90.17,2822,8114,100
2018-02-23 22:17:17.590102,88,90.02,2822,8114,100
2018-02-23 22:17:27.632331,88,90.14,2822,8114,100
2018-02-23 22:17:37.661854,88,90.09,2822,8114,100
2018-02-23 22:17:47.697443,88,90.02,2822,8114,100
2018-02-23 22:17:57.733821,88,90.21,2822,8114,100
2018-02-23 22:18:07.773378,88,90.09,2822,8114,100
2018-02-23 22:18:17.812386,88,90.05,2822,8114,100
2018-02-23 22:18:27.855468,88,90.17,2822,8114,100
2018-02-23 22:18:37.887021,88,90.05,2822,8114,100
2018-02-23 22:18:47.921309,88,90.10,2822,8114,100
2018-02-23 22:18:57.967653,88,90.09,2822,8114,100
2018-02-23 22:19:07.999764,88,90.17,2822,8114,100
2018-02-23 22:19:18.044895,88,90.09,2822,8114,100
2018-02-23 22:19:28.077335,88,90.21,2822,8114,100
2018-02-23 22:19:38.112312,88,90.21,2822,8114,100
2018-02-23 22:19:48.144006,88,90.02,2822,8114,100
2018-02-23 22:19:58.191353,88,90.14,2822,8114,100
2018-02-23 22:20:08.223196,88,90.09,2822,8114,100
2018-02-23 22:20:18.256340,88,90.14,2822,8114,100
2018-02-23 22:20:28.296872,88,90.21,2822,8114,100
2018-02-23 22:20:38.328244,88,90.05,2822,8114,100
2018-02-23 22:20:48.371795,88,90.09,2822,8114,100
